day_fiji,storefront,saved_requests_raw,duplicates_dropped,saved_requests_dedup,human_confirmed_bookings,completed_trips,cancelled_bookings,system_status_completed,system_status_pending,system_driver_assigned,quoted_value_fjd_dedup,collected_revenue_fjd
2026-08-31,NO_REF_UNATTRIBUTED,2,0,2,UNKNOWN,UNKNOWN,UNKNOWN,0,2,0,226.52,UNKNOWN
2026-09-01,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-01,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-01,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-01,NO_REF_UNATTRIBUTED,2,0,2,UNKNOWN,UNKNOWN,UNKNOWN,0,2,0,78.23,UNKNOWN
2026-09-02,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-02,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-02,FIJIDASH_OTHER,3,0,3,UNKNOWN,UNKNOWN,UNKNOWN,0,3,0,295.9,UNKNOWN
2026-09-02,NO_REF_UNATTRIBUTED,3,0,3,UNKNOWN,UNKNOWN,UNKNOWN,0,3,0,653.26,UNKNOWN
2026-09-03,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-03,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-03,FIJIDASH_OTHER,3,0,3,UNKNOWN,UNKNOWN,UNKNOWN,0,3,0,386.75,UNKNOWN
2026-09-03,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-04,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-04,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-04,FIJIDASH_OTHER,1,0,1,UNKNOWN,UNKNOWN,UNKNOWN,0,1,0,245.73,UNKNOWN
2026-09-04,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-05,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-05,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-05,FIJIDASH_OTHER,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-05,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-06,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-06,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-06,FIJIDASH_OTHER,2,0,2,UNKNOWN,UNKNOWN,UNKNOWN,0,2,0,233.39,UNKNOWN
2026-09-06,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-07,NADI_ONSITE_WIDGET,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-07,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-07,FIJIDASH_OTHER,5,1,4,UNKNOWN,UNKNOWN,UNKNOWN,0,4,0,192.61,UNKNOWN
2026-09-07,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-08,NADI_ONSITE_WIDGET,5,0,5,UNKNOWN,UNKNOWN,UNKNOWN,0,5,0,471.0,UNKNOWN
2026-09-08,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-08,FIJIDASH_OTHER,1,0,1,UNKNOWN,UNKNOWN,UNKNOWN,0,1,0,69.08,UNKNOWN
2026-09-08,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-09,NADI_ONSITE_WIDGET,9,1,8,UNKNOWN,UNKNOWN,UNKNOWN,0,8,0,957.0,UNKNOWN
2026-09-09,FIJIDASH_NADI_HANDOFF,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-09,FIJIDASH_OTHER,1,0,1,UNKNOWN,UNKNOWN,UNKNOWN,0,1,0,166.81,UNKNOWN
2026-09-09,NO_REF_UNATTRIBUTED,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,UNKNOWN
2026-09-10,NADI_ONSITE_WIDGET,6,1,5,UNKNOWN,UNKNOWN,UNKNOWN,0,5,0,744.0,UNKNOWN
